fdcId,foodDescription,factorIndex,nutrientConversionFactor.type,nutrientConversionFactor.proteinValue,nutrientConversionFactor.fatValue,nutrientConversionFactor.carbohydrateValue,nutrientConversionFactor.value,nutrientConversionFactor.nitrogenValue
1105314,"Bananas, ripe and slightly ripe, raw",0,.CalorieConversionFactor,3.36,8.37,3.6,,
1750339,"Apples, red delicious, with skin, raw",0,.CalorieConversionFactor,3.36,8.37,3.6,,
1750339,"Apples, red delicious, with skin, raw",1,.ProteinConversionFactor,,,,6.25,
1750340,"Apples, fuji, with skin, raw",0,.CalorieConversionFactor,3.36,8.37,3.6,,
1750340,"Apples, fuji, with skin, raw",1,.ProteinConversionFactor,,,,6.25,
1750341,"Apples, gala, with skin, raw",0,.CalorieConversionFactor,3.36,8.37,3.6,,
1750341,"Apples, gala, with skin, raw",1,.ProteinConversionFactor,,,,6.25,
1750342,"Apples, granny smith, with skin, raw",0,.CalorieConversionFactor,3.36,8.37,3.6,,
1750342,"Apples, granny smith, with skin, raw",1,.ProteinConversionFactor,,,,6.25,
1750343,"Apples, honeycrisp, with skin, raw",0,.CalorieConversionFactor,3.36,8.37,3.6,,
1750343,"Apples, honeycrisp, with skin, raw",1,.ProteinConversionFactor,,,,6.25,
1750348,"Oil, peanut",0,.CalorieConversionFactor,4.0,8.84,4.0,,
1750349,"Oil, sunflower",0,.CalorieConversionFactor,4.0,8.84,4.0,,
1750350,"Oil, safflower",0,.CalorieConversionFactor,4.0,8.84,4.0,,
1750351,"Oil, olive, extra light",0,.CalorieConversionFactor,4.0,8.84,4.0,,
1999626,"Mushroom, lion's mane",0,.CalorieConversionFactor,2.62,8.37,3.48,,
1999626,"Mushroom, lion's mane",1,.ProteinConversionFactor,,,,6.25,
1999627,"Mushroom, oyster",0,.CalorieConversionFactor,2.62,8.37,3.48,,
1999627,"Mushroom, oyster",1,.ProteinConversionFactor,,,,6.25,
1999628,"Mushrooms, shiitake",0,.CalorieConversionFactor,2.62,8.37,3.48,,
1999628,"Mushrooms, shiitake",1,.ProteinConversionFactor,,,,6.25,
1999629,"Mushrooms, white button",0,.CalorieConversionFactor,2.62,8.37,3.48,,
1999629,"Mushrooms, white button",1,.ProteinConversionFactor,,,,6.25,
1999630,"Soy milk, unsweetened, plain, shelf stable",0,.CalorieConversionFactor,4.0,9.0,4.0,,
1999630,"Soy milk, unsweetened, plain, shelf stable",1,.ProteinConversionFactor,,,,6.25,
1999631,"Almond milk, unsweetened, plain, shelf stable",0,.CalorieConversionFactor,4.0,9.0,4.0,,
1999631,"Almond milk, unsweetened, plain, shelf stable",1,.ProteinConversionFactor,,,,6.25,
1999632,"Spinach, baby",0,.CalorieConversionFactor,2.44,8.37,3.57,,
1999632,"Spinach, baby",1,.ProteinConversionFactor,,,,6.25,
1999633,"Spinach, mature",0,.CalorieConversionFactor,2.44,8.37,3.57,,
1999633,"Spinach, mature",1,.ProteinConversionFactor,,,,6.25,
1999634,"Tomato, roma",0,.CalorieConversionFactor,2.44,8.37,3.57,,
1999634,"Tomato, roma",1,.ProteinConversionFactor,,,,6.25,
2003586,"Flour, 00",0,.CalorieConversionFactor,4.05,8.37,4.12,,
2003586,"Flour, 00",1,.ProteinConversionFactor,,,,6.25,
2003587,"Flour, spelt, whole grain",0,.CalorieConversionFactor,3.59,8.37,3.78,,
2003587,"Flour, spelt, whole grain",1,.ProteinConversionFactor,,,,6.25,
2003588,"Flour, semolina, coarse and semi-coarse",0,.CalorieConversionFactor,4.05,8.37,4.12,,
2003588,"Flour, semolina, coarse and semi-coarse",1,.ProteinConversionFactor,,,,6.25,
2003589,"Flour, semolina, fine",0,.CalorieConversionFactor,4.05,8.37,4.12,,
2003589,"Flour, semolina, fine",1,.ProteinConversionFactor,,,,6.25,
2003590,"Apple juice, with added vitamin C, from concentrate, shelf stable",0,.CalorieConversionFactor,3.36,8.37,3.92,,
2003590,"Apple juice, with added vitamin C, from concentrate, shelf stable",1,.ProteinConversionFactor,,,,6.25,
2003591,"Orange juice, no pulp, not fortified, from concentrate, refrigerated",0,.CalorieConversionFactor,3.36,8.37,3.92,,
2003591,"Orange juice, no pulp, not fortified, from concentrate, refrigerated",1,.ProteinConversionFactor,,,,6.25,
2003592,"Grape juice, purple, with added vitamin C, from concentrate, shelf stable",0,.CalorieConversionFactor,3.36,8.37,3.92,,
2003592,"Grape juice, purple, with added vitamin C, from concentrate, shelf stable",1,.ProteinConversionFactor,,,,6.25,
2003593,"Grape juice, white, with added vitamin C, from concentrate, shelf stable",0,.CalorieConversionFactor,3.36,8.37,3.92,,
2003593,"Grape juice, white, with added vitamin C, from concentrate, shelf stable",1,.ProteinConversionFactor,,,,6.25,
